#protein_sequence_id	HMM bit score	COG	taxid.projectid (if possible)
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2_1101	144.7	COG0184	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2_1101._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2_2498	149.5	COG0186	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2_2498._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2_2503	170.5	COG0185	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2_2503._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS03735	604.2	COG0533	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS03735._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS05250	398.6	COG0124	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS05250._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS05285	581.7	COG0018	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS05285._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS05305	429.2	COG0052	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS05305._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS05550	722.4	COG0215	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS05550._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS06325	478.9	COG0016	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS06325._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS06370	1193.3	COG0495	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS06370._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS08100	749.3	COG0541	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS08100._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS08255	424.7	COG0552	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS08255._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS10895	557.2	COG0012	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS10895._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12650	443.5	COG0202	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12650._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12655	259.8	COG0522	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12655._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12660	217.0	COG0100	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12660._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12665	197.8	COG0099	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12665._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12695	491.2	COG0201	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12695._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12700	203.7	COG0200	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12700._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12710	241.7	COG0098	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12710._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12715	187.9	COG0256	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12715._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12720	258.9	COG0097	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12720._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12725	192.1	COG0096	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12725._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12735	291.7	COG0094	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12735._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12745	215.9	COG0093	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12745._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12760	221.3	COG0197	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12760._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12765	392.1	COG0092	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12765._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12770	188.4	COG0091	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12770._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12780	441.8	COG0090	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12780._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12790	332.2	COG0088	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12790._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12795	335.5	COG0087	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12795._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12900	1456.9	COG0525	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS12900._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS13145	246.9	COG0103	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS13145._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS13150	223.5	COG0102	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS13150._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14400	251.8	COG0049	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14400._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14405	186.4	COG0048	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14405._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14435	1793.7	COG0086	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14435._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14440	2135.5	COG0085	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14440._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14890	346.8	COG0081	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14890._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14895	259.2	COG0080	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS14895._NA_
GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS15145	515.1	COG0172	GCF_002222595-2_ASM222259v2_genomic|NZ_CP022413-2|CGC63_RS15145._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1_3085	143.9	COG0184	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1_3085._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS00350	1195.4	COG0495	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS00350._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS00730	472.5	COG0016	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS00730._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02225	621.7	COG0533	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02225._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02505	446.3	COG0202	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02505._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02510	264.0	COG0522	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02510._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02515	218.8	COG0100	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02515._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02520	203.0	COG0099	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02520._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02550	500.6	COG0201	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02550._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02555	205.5	COG0200	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02555._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02565	247.7	COG0098	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02565._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02570	190.6	COG0256	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02570._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02865	1447.5	COG0525	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS02865._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS03870	249.8	COG0049	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS03870._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS03875	185.4	COG0048	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS03875._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS03950	1783.9	COG0086	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS03950._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS03955	2157.8	COG0085	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS03955._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS04045	347.0	COG0081	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS04045._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS04050	259.9	COG0080	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS04050._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS05965	513.8	COG0172	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS05965._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS10190	563.3	COG0012	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS10190._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS10305	219.7	COG0102	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS10305._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS10310	240.3	COG0103	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS10310._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS13715	430.2	COG0052	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS13715._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS14700	421.6	COG0552	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS14700._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS16310	742.2	COG0541	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS16310._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS16745	731.4	COG0215	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS16745._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS17775	562.5	COG0018	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|HDCHBGLK_RS17775._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_3345	403.6	COG0124	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_3345._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_503	258.8	COG0097	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_503._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_504	191.9	COG0096	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_504._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_506	297.6	COG0094	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_506._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_508	217.3	COG0093	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_508._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_509	142.4	COG0186	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_509._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_511	220.4	COG0197	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_511._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_512	395.4	COG0092	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_512._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_513	196.1	COG0091	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_513._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_514	172.1	COG0185	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_514._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_515	441.1	COG0090	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_515._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_517	322.9	COG0088	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_517._NA_
GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_518	322.5	COG0087	GCF_004295125-1_ASM429512v1_genomic|NZ_CP036170-1|ctg1_518._NA_
