Funct	Description
1.1.1.89	Deleted entry
1.1.1.9	D-xylulose reductase; NAD+-dependent xylitol dehydrogenase; xylitol dehydrogenase (ambiguous); erythritol dehydrogenase; 2,3-cis-polyol(DPN) dehydrogenase (C3-5); pentitol-DPN dehydrogenase (ambiguous); xylitol-2-dehydrogenase
1.1.1.90	aryl-alcohol dehydrogenase; p-hydroxybenzyl alcohol dehydrogenase; benzyl alcohol dehydrogenase; coniferyl alcohol dehydrogenase
1.1.1.91	aryl-alcohol dehydrogenase (NADP+); aryl alcohol dehydrogenase (nicotinamide adenine dinucleotide phosphate); coniferyl alcohol dehydrogenase; NADPH-linked benzaldehyde reductase; aryl-alcohol dehydrogenase (NADP+)
1.1.1.92	oxaloglycolate reductase (decarboxylating)
1.1.1.93	tartrate dehydrogenase; mesotartrate dehydrogenase
1.1.1.94	glycerol-3-phosphate dehydrogenase [NAD(P)+]; L-glycerol-3-phosphate:NAD(P) oxidoreductase; glycerol phosphate dehydrogenase (nicotinamide adenine dinucleotide (phosphate)); glycerol 3-phosphate dehydrogenase (NADP); glycerol-3-phosphate dehydrogenase [NAD(P)]
1.1.1.95	phosphoglycerate dehydrogenase; PHGDH (gene name); D-3-phosphoglycerate:NAD+ oxidoreductase; alpha-phosphoglycerate dehydrogenase; 3-phosphoglycerate dehydrogenase; 3-phosphoglyceric acid dehydrogenase; D-3-phosphoglycerate dehydrogenase; glycerate 3-phosphate dehydrogenase; glycerate-1,3-phosphate dehydrogenase; phosphoglycerate oxidoreductase; phosphoglyceric acid dehydrogenase; SerA; 3-phosphoglycerate:NAD+ 2-oxidoreductase; SerA 3PG dehydrogenase; 3PHP reductase
1.1.1.96	diiodophenylpyruvate reductase; aromatic alpha-keto acid; KAR; 2-oxo acid reductase
1.1.1.97	3-hydroxybenzyl-alcohol dehydrogenase; m-hydroxybenzyl alcohol dehydrogenase; m-hydroxybenzyl alcohol (NADP+) dehydrogenase; m-hydroxybenzylalcohol dehydrogenase
1.1.1.98	(R)-2-hydroxy-fatty-acid dehydrogenase; D-2-hydroxy fatty acid dehydrogenase; 2-hydroxy fatty acid oxidase
1.1.1.99	(S)-2-hydroxy-fatty-acid dehydrogenase; dehydrogenase, L-2-hydroxy fatty acid; L-2-hydroxy fatty acid dehydrogenase; 2-hydroxy fatty acid oxidase
1.1.2.-	Oxidoreductases; Acting on the CH-OH group of donors; With a cytochrome as acceptor
1.1.2.1	Transferred to 1.1.5.3
1.1.2.10	lanthanide-dependent methanol dehydrogenase; XoxF; XoxF-MDH; Ce-MDH; La3+-dependent MDH; Ce3+-induced methanol dehydrogenase; cerium dependent MDH
1.1.2.11	glucoside 3-dehydrogenase (cytochrome c); D-glucoside 3-dehydrogenase (ambiguous); D-aldohexopyranoside dehydrogenase (ambiguous); D-aldohexoside:cytochrome c oxidoreductase; hexopyranoside-cytochrome c oxidoreductase
1.1.2.2	mannitol dehydrogenase (cytochrome); polyol dehydrogenase
1.1.2.3	L-lactate dehydrogenase (cytochrome); lactic acid dehydrogenase; cytochrome b2 (flavin-free derivative of flavocytochrome b2); flavocytochrome b2; L-lactate cytochrome c reductase; L(+)-lactate:cytochrome c oxidoreductase; dehydrogenase, lactate (cytochrome); L-lactate cytochrome c oxidoreductase; lactate dehydrogenase (cytochrome); lactic cytochrome c reductase
1.1.2.4	D-lactate dehydrogenase (cytochrome); lactic acid dehydrogenase; D-lactate (cytochrome) dehydrogenase; cytochrome-dependent D-(-)-lactate dehydrogenase; D-lactate-cytochrome c reductase; D-(-)-lactic cytochrome c reductase
1.1.2.5	D-lactate dehydrogenase (cytochrome c-553)
1.1.2.6	polyvinyl alcohol dehydrogenase (cytochrome); PVA dehydrogenase; PVADH
1.1.2.7	methanol dehydrogenase (cytochrome c); methanol dehydrogenase; MDH (ambiguous)
1.1.2.8	alcohol dehydrogenase (cytochrome c); type I quinoprotein alcohol dehydrogenase; quinoprotein ethanol dehydrogenase
1.1.2.9	1-butanol dehydrogenase (cytochrome c); BDH
1.1.3.-	Oxidoreductases; Acting on the CH-OH group of donors; With oxygen as acceptor
1.1.3.1	Deleted entry
1.1.3.10	pyranose oxidase; glucose 2-oxidase; pyranose-2-oxidase
1.1.3.11	L-sorbose oxidase
1.1.3.12	pyridoxine 4-oxidase; pyridoxin 4-oxidase; pyridoxol 4-oxidase
1.1.3.13	alcohol oxidase; ethanol oxidase; alcohol:oxygen oxidoreductase
1.1.3.14	catechol oxidase (dimerizing)
1.1.3.15	(S)-2-hydroxy-acid oxidase; hydroxy-acid oxidase A; hydroxy-acid oxidase B; glycolate oxidase; L-2-hydroxy acid oxidase; hydroxyacid oxidase A; L-alpha-hydroxy acid oxidase
1.1.3.16	ecdysone oxidase; beta-ecdysone oxidase
1.1.3.17	choline oxidase
1.1.3.18	secondary-alcohol oxidase; polyvinyl alcohol oxidase; secondary alcohol oxidase
1.1.3.19	4-hydroxymandelate oxidase (decarboxylating); L-4-hydroxymandelate oxidase (decarboxylating); (S)-2-hydroxy-2-(4-hydroxyphenyl)acetate:oxygen 1-oxidoreductase; (S)-4-hydroxymandelate:oxygen 1-oxidoreductase; 4-hydroxymandelate oxidase
1.1.3.2	L-lactate oxidase; lctO (gene name); LOX
1.1.3.20	long-chain-alcohol oxidase; long-chain fatty alcohol oxidase; fatty alcohol oxidase; fatty alcohol:oxygen oxidoreductase; long-chain fatty acid oxidase
1.1.3.21	glycerol-3-phosphate oxidase; glycerol phosphate oxidase; glycerol-1-phosphate oxidase; glycerol phosphate oxidase; L-alpha-glycerophosphate oxidase; alpha-glycerophosphate oxidase; L-alpha-glycerol-3-phosphate oxidase
1.1.3.22	Transferred to 1.17.3.2
1.1.3.23	thiamine oxidase; thiamin dehydrogenase; thiamine dehydrogenase; thiamin:oxygen 5-oxidoreductase
1.1.3.24	Transferred to 1.3.3.12
1.1.3.25	Transferred to 1.1.99.18
1.1.3.26	Transferred to 1.21.3.2
1.1.3.27	hydroxyphytanate oxidase; L-2-hydroxyphytanate:oxygen 2-oxidoreductase
1.1.3.28	nucleoside oxidase
1.1.3.29	N-acylhexosamine oxidase; N-acyl-D-hexosamine oxidase; N-acyl-beta-D-hexosamine:oxygen 1-oxidoreductase
1.1.3.3	Deleted entry
1.1.3.30	polyvinyl-alcohol oxidase; dehydrogenase, polyvinyl alcohol; PVA oxidase
1.1.3.31	Deleted entry
1.1.3.32	Transferred to 1.14.21.1
1.1.3.33	Transferred to 1.14.21.2
1.1.3.34	Transferred to 1.14.21.3
1.1.3.35	Transferred to 1.14.21.4
1.1.3.36	Transferred to 1.14.21.5
1.1.3.37	D-arabinono-1,4-lactone oxidase; D-arabinono-gamma-lactone oxidase; ALO
1.1.3.38	vanillyl-alcohol oxidase; 4-hydroxy-2-methoxybenzyl alcohol oxidase
1.1.3.39	nucleoside oxidase (H2O2-forming)
1.1.3.4	glucose oxidase; glucose oxyhydrase; corylophyline; penatin; glucose aerodehydrogenase; microcid; beta-D-glucose oxidase; D-glucose oxidase; D-glucose-1-oxidase; beta-D-glucose:quinone oxidoreductase; glucose oxyhydrase; deoxin-1; GOD
1.1.3.40	D-mannitol oxidase; mannitol oxidase; D-arabitol oxidase
1.1.3.41	alditol oxidase; xylitol oxidase; xylitol:oxygen oxidoreductase; AldO
1.1.3.42	prosolanapyrone-II oxidase; Sol5 (ambiguous); SPS (ambiguous); solanapyrone synthase (bifunctional enzyme: prosolanapyrone II oxidase/prosolanapyrone III cycloisomerase); prosolanapyrone II oxidase
1.1.3.43	paromamine 6'-oxidase; btrQ (gene name); neoG (gene name); kanI (gene name); tacB (gene name); neoQ (obsolete gene name)
1.1.3.44	6'''-hydroxyneomycin C oxidase; neoG (gene name); neoQ (obsolete gene name)
1.1.3.45	aclacinomycin-N oxidase; AknOx (ambiguous); aclacinomycin oxidoreductase (ambiguous)
1.1.3.46	4-hydroxymandelate oxidase; 4HmO; HmO
1.1.3.47	5-(hydroxymethyl)furfural oxidase
1.1.3.48	3-deoxy-alpha-D-manno-octulosonate 8-oxidase; kdnB (gene name)
1.1.3.49	(R)-mandelonitrile oxidase; ChuaMOX (gene name)
1.1.3.5	hexose oxidase
1.1.3.50	C-glycoside oxidase; carA (gene name)
1.1.3.6	cholesterol oxidase; cholesterol- O2 oxidoreductase; 3beta-hydroxy steroid oxidoreductase; 3beta-hydroxysteroid:oxygen oxidoreductase
1.1.3.7	aryl-alcohol oxidase; aryl alcohol oxidase; veratryl alcohol oxidase; arom. alcohol oxidase
1.1.3.8	L-gulonolactone oxidase; L-gulono-gamma-lactone: O2 oxidoreductase; L-gulono-gamma-lactone oxidase; L-gulono-gamma-lactone:oxidoreductase; GLO
1.1.3.9	galactose oxidase; D-galactose oxidase; beta-galactose oxidase
1.1.4.-	Oxidoreductases; Acting on the CH-OH group of donors; With a disulfide as acceptor
1.1.4.1	Transferred to 1.17.4.4
1.1.4.2	Transferred to 1.17.4.5
1.1.5.-	Oxidoreductases; Acting on the CH-OH group of donors; With a quinone or similar compound as acceptor
1.1.5.1	Deleted entry
1.1.5.10	D-2-hydroxyacid dehydrogenase (quinone); (R)-2-hydroxy acid dehydrogenase; (R)-2-hydroxy-acid:(acceptor) 2-oxidoreductase; D-lactate dehydrogenase (ambiguous)
1.1.5.11	1-butanol dehydrogenase (quinone); BOH
1.1.5.12	D-lactate dehydrogenase (quinone); dld (gene name)
1.1.5.13	(S)-2-hydroxyglutarate dehydrogenase; L-2-hydroxyglutarate dehydrogenase; lhgO (gene name); ygaF (gene name)
1.1.5.14	fructose 5-dehydrogenase; fructose 5-dehydrogenase (acceptor); D-fructose dehydrogenase; D-fructose:(acceptor) 5-oxidoreductase
1.1.5.2	glucose 1-dehydrogenase (PQQ, quinone); quinoprotein glucose dehydrogenase; membrane-bound glucose dehydrogenase; mGDH; glucose dehydrogenase (PQQ-dependent); glucose dehydrogenase (pyrroloquinoline-quinone); quinoprotein D-glucose dehydrogenase
1.1.5.3	glycerol-3-phosphate dehydrogenase; alpha-glycerophosphate dehydrogenase; alpha-glycerophosphate dehydrogenase (acceptor); anaerobic glycerol-3-phosphate dehydrogenase; DL-glycerol 3-phosphate oxidase (misleading); FAD-dependent glycerol-3-phosphate dehydrogenase; FAD-dependent sn-glycerol-3-phosphate dehydrogenase; FAD-GPDH; FAD-linked glycerol 3-phosphate dehydrogenase; FAD-linked L-glycerol-3-phosphate dehydrogenase; flavin-linked glycerol-3-phosphate dehydrogenase; flavoprotein-linked L-glycerol 3-phosphate dehydrogenase; glycerol 3-phosphate cytochrome c reductase (misleading); glycerol phosphate dehydrogenase; glycerol phosphate dehydrogenase (acceptor); glycerol phosphate dehydrogenase (FAD); glycerol-3-phosphate CoQ reductase; glycerol-3-phosphate dehydrogenase (flavin-linked); glycerol-3-phosphate:CoQ reductase; glycerophosphate dehydrogenase; L-3-glycerophosphate-ubiquinone oxidoreductase; L-glycerol-3-phosphate dehydrogenase (ambiguous); L-glycerophosphate dehydrogenase; mGPD; mitochondrial glycerol phosphate dehydrogenase; NAD+-independent glycerol phosphate dehydrogenase; pyridine nucleotide-independent L-glycerol 3-phosphate dehydrogenase; sn-glycerol 3-phosphate oxidase (misleading); sn-glycerol-3-phosphate dehydrogenase; sn-glycerol-3-phosphate:(acceptor) 2-oxidoreductase; sn-glycerol-3-phosphate:acceptor 2-oxidoreductase
1.1.5.4	malate dehydrogenase (quinone); FAD-dependent malate-vitamin K reductase; malate-vitamin K reductase; (S)-malate:(acceptor) oxidoreductase; L-malate-quinone oxidoreductase; malate:quinone oxidoreductase; malate quinone oxidoreductase; MQO; malate:quinone reductase; malate dehydrogenase (acceptor); FAD-dependent malate dehydrogenase
1.1.5.5	alcohol dehydrogenase (quinone); type III ADH; membrane associated quinohaemoprotein alcohol dehydrogenase
1.1.5.6	Transferred to 1.17.5.3
1.1.5.7	cyclic alcohol dehydrogenase (quinone); cyclic alcohol dehydrogenase; MCAD
1.1.5.8	quinate/shikimate dehydrogenase (quinone); NAD(P)+-independent quinate dehydrogenase; quinate:pyrroloquinoline-quinone 5-oxidoreductase; quinate dehydrogenase (quinone)
1.1.5.9	glucose 1-dehydrogenase (FAD, quinone); glucose dehydrogenase (Aspergillus); FAD-dependent glucose dehydrogenase; D-glucose:(acceptor) 1-oxidoreductase; glucose dehydrogenase (acceptor); gdh (gene name)
1.1.7.-	Oxidoreductases; Acting on the CH-OH group of donors; With an iron-sulfur protein as acceptor
1.1.7.1	4-hydroxybenzoyl-CoA reductase; 4-hydroxybenzoyl-CoA reductase (dehydroxylating); 4-hydroxybenzoyl-CoA:(acceptor) oxidoreductase; benzoyl-CoA:acceptor oxidoreductase
1.1.9.-	Oxidoreductases; Acting on the CH-OH group of donors; With a copper protein as acceptor
1.1.9.1	alcohol dehydrogenase (azurin); type II quinoprotein alcohol dehydrogenase; quinohaemoprotein ethanol dehydrogenase; QHEDH; ADHIIB
1.1.98.-	Oxidoreductases; Acting on the CH-OH group of donors; With other, known, acceptors
1.1.98.1	Transferred to 1.1.9.1
1.1.98.2	glucose-6-phosphate dehydrogenase (coenzyme-F420); coenzyme F420-dependent glucose-6-phosphate dehydrogenase; F420-dependent glucose-6-phosphate dehydrogenase; FGD1; Rv0407; F420-dependent glucose-6-phosphate dehydrogenase 1
1.1.98.3	decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase; decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase; Rv3790; DprE1; decaprenylphospho-beta-D-ribofuranose 2-oxidase
1.1.98.4	F420H2:quinone oxidoreductase; FqoF protein
1.1.98.5	secondary-alcohol dehydrogenase (coenzyme-F420); F420-dependent alcohol dehydrogenase; secondary alcohol:F420 oxidoreductase; F420-dependent secondary alcohol dehydrogenase
1.1.98.6	ribonucleoside-triphosphate reductase (formate); nrdD (gene name); class III ribonucleoside-triphosphate reductase; anaerobic ribonucleotide reductase; anaerobic ribonucleoside-triphosphate reductase
1.1.98.7	serine-type anaerobic sulfatase-maturating enzyme; atsB (gene name)
1.1.99.-	Oxidoreductases; Acting on the CH-OH group of donors; With other acceptors
1.1.99.1	choline dehydrogenase; choline oxidase; choline-cytochrome c reductase; choline:(acceptor) oxidoreductase; choline:(acceptor) 1-oxidoreductase
1.1.99.10	Transferred to 1.1.5.9
1.1.99.11	Transferred to 1.1.5.14
1.1.99.12	sorbose dehydrogenase; L-sorbose:(acceptor) 5-oxidoreductase
1.1.99.13	glucoside 3-dehydrogenase (acceptor); D-glucoside 3-dehydrogenase (ambiguous); D-aldohexopyranoside dehydrogenase (ambiguous); D-aldohexoside:(acceptor) 3-oxidoreductase; thuA (gene name); thuB (gene name); glucoside 3-dehydrogenase
1.1.99.14	glycolate dehydrogenase; glycolate oxidoreductase; glycolic acid dehydrogenase; glycolate:(acceptor) 2-oxidoreductase
1.1.99.15	Transferred to 1.5.1.20
1.1.99.16	Transferred to 1.1.5.4
1.1.99.17	Transferred to 1.1.5.2
1.1.99.18	cellobiose dehydrogenase (acceptor); cellobiose dehydrogenase; cellobiose oxidoreductase; Phanerochaete chrysosporium cellobiose oxidoreductase; CBOR; cellobiose oxidase; cellobiose:oxygen 1-oxidoreductase; CDH; cellobiose:(acceptor) 1-oxidoreductase
1.1.99.19	Transferred to 1.17.99.4
1.1.99.2	L-2-hydroxyglutarate dehydrogenase; alpha-ketoglutarate reductase; alpha-hydroxyglutarate dehydrogenase; L-alpha-hydroxyglutarate dehydrogenase; hydroxyglutaric dehydrogenase; alpha-hydroxyglutarate oxidoreductase; L-alpha-hydroxyglutarate:NAD+ 2-oxidoreductase; alpha-hydroxyglutarate dehydrogenase (NAD+ specific); (S)-2-hydroxyglutarate:(acceptor) 2-oxidoreductase
1.1.99.20	alkan-1-ol dehydrogenase (acceptor); polyethylene glycol dehydrogenase; alkan-1-ol:(acceptor) oxidoreductase
1.1.99.21	D-sorbitol dehydrogenase (acceptor); D-sorbitol:(acceptor) 1-oxidoreductase
1.1.99.22	glycerol dehydrogenase (acceptor); glycerol:(acceptor) 1-oxidoreductase
1.1.99.23	Transferred to 1.1.2.6
1.1.99.24	hydroxyacid-oxoacid transhydrogenase; transhydrogenase, hydroxy acid-oxo acid
1.1.99.25	Transferred to 1.1.5.8
1.1.99.26	3-hydroxycyclohexanone dehydrogenase
1.1.99.27	(R)-pantolactone dehydrogenase (flavin); 2-dehydropantolactone reductase (flavin); 2-dehydropantoyl-lactone reductase (flavin); (R)-pantoyllactone dehydrogenase (flavin)
1.1.99.28	glucose-fructose oxidoreductase
1.1.99.29	pyranose dehydrogenase (acceptor); pyranose dehydrogenase; pyranose-quinone oxidoreductase; quinone-dependent pyranose dehydrogenase; PDH
1.1.99.3	gluconate 2-dehydrogenase (acceptor); gluconate oxidase; gluconate dehydrogenase; gluconic dehydrogenase; D-gluconate dehydrogenase; gluconic acid dehydrogenase; 2-ketogluconate reductase; D-gluconate dehydrogenase, 2-keto-D-gluconate-yielding; D-gluconate:(acceptor) 2-oxidoreductase
1.1.99.30	2-oxo-acid reductase; (2R)-hydroxycarboxylate-viologen-oxidoreductase; HVOR; 2-oxoacid reductase
1.1.99.31	(S)-mandelate dehydrogenase; MDH (ambiguous)
1.1.99.32	L-sorbose 1-dehydrogenase; SDH (ambiguous)
1.1.99.33	Transferred to 1.17.99.7
1.1.99.34	Transferred to 1.1.98.2
1.1.99.35	soluble quinoprotein glucose dehydrogenase; soluble glucose dehydrogenase; sGDH; glucose dehydrogenase (PQQ-dependent)
1.1.99.36	alcohol dehydrogenase (nicotinoprotein); NDMA-dependent alcohol dehydrogenase; nicotinoprotein alcohol dehydrogenase; np-ADH; ethanol:N,N-dimethyl-4-nitrosoaniline oxidoreductase
1.1.99.37	methanol dehydrogenase (nicotinoprotein); NDMA-dependent methanol dehydrogenase; nicotinoprotein methanol dehydrogenase; methanol:N,N-dimethyl-4-nitrosoaniline oxidoreductase
1.1.99.38	2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent); btrN (gene name); 2-deoxy-scyllo-inosamine dehydrogenase (SAM-dependent)
1.1.99.39	D-2-hydroxyglutarate dehydrogenase; D2HGDH (gene name)
1.1.99.4	dehydrogluconate dehydrogenase; ketogluconate dehydrogenase; alpha-ketogluconate dehydrogenase; 2-keto-D-gluconate dehydrogenase; 2-oxogluconate dehydrogenase
1.1.99.40	(R)-2-hydroxyglutarate---pyruvate transhydrogenase; DLD3 (gene name)
1.1.99.41	3-hydroxy-1,2-didehydro-2,3-dihydrotabersonine reductase; T3R; tabersonine 3-reductase
1.1.99.42	4-pyridoxic acid dehydrogenase; mlr6792 (locus name)
1.1.99.5	Transferred to 1.1.5.3
1.1.99.6	D-lactate dehydrogenase (acceptor); D-2-hydroxy acid dehydrogenase; D-2-hydroxy-acid dehydrogenase; (R)-2-hydroxy-acid:acceptor 2-oxidoreductase
1.1.99.7	lactate---malate transhydrogenase; malate-lactate transhydrogenase
1.1.99.8	Transferred to 1.1.2.7 and 1.1.2.8
1.1.99.9	pyridoxine 5-dehydrogenase; pyridoxal-5-dehydrogenase; pyridoxol 5-dehydrogenase; pyridoxin 5-dehydrogenase; pyridoxine dehydrogenase; pyridoxine 5'-dehydrogenase; pyridoxine:(acceptor) 5-oxidoreductase
1.10.-.-	Oxidoreductases; Acting on diphenols and related substances as donors
1.10.1.-	Oxidoreductases; Acting on diphenols and related substances as donors; With NAD(+) or NADP(+) as acceptor
1.10.1.1	trans-acenaphthene-1,2-diol dehydrogenase; trans-1,2-acenaphthenediol dehydrogenase
1.10.2.-	Oxidoreductases; Acting on diphenols and related substances as donors; With a cytochrome as acceptor
1.10.2.1	Deleted entry
1.10.2.2	Transferred to 7.1.1.8
1.10.3.-	Oxidoreductases; Acting on diphenols and related substances as donors; With oxygen as acceptor
1.10.3.1	catechol oxidase; diphenol oxidase; o-diphenolase; polyphenol oxidase; pyrocatechol oxidase; dopa oxidase; catecholase; o-diphenol:oxygen oxidoreductase; o-diphenol oxidoreductase
1.10.3.10	Transferred to 7.1.1.3
1.10.3.11	ubiquinol oxidase (non-electrogenic); plant alternative oxidase; cyanide-insensitive oxidase; AOX (gene name); ubiquinol oxidase; ubiquinol:O2 oxidoreductase (non-electrogenic)
1.10.3.12	Transferred to 7.1.1.5
1.10.3.13	Transferred to 7.1.1.4
1.10.3.14	Transferred to 7.1.1.7
1.10.3.15	grixazone synthase; GriF
1.10.3.16	dihydrophenazinedicarboxylate synthase; phzG (gene name)
1.10.3.17	superoxide oxidase; SOO; CybB; cytochrome b561; superoxide:ubiquinone oxidoreductase
1.10.3.2	laccase; urishiol oxidase; urushiol oxidase; p-diphenol oxidase
1.10.3.3	L-ascorbate oxidase; ascorbase; ascorbic acid oxidase; ascorbate oxidase; ascorbic oxidase; ascorbate dehydrogenase; L-ascorbic acid oxidase; AAO; L-ascorbate:O2 oxidoreductase; AA oxidase
1.10.3.4	o-aminophenol oxidase; isophenoxazine synthase; o-aminophenol:O2 oxidoreductase; 2-aminophenol:O2 oxidoreductase
1.10.3.5	3-hydroxyanthranilate oxidase; 3-hydroxyanthranilic acid oxidase
1.10.3.6	rifamycin-B oxidase; rifamycin B oxidase
1.10.3.7	Transferred to 1.21.3.4
1.10.3.8	Transferred to 1.21.3.5
1.10.3.9	photosystem II
1.10.5.-	Oxidoreductases; Acting on diphenols and related substances as donors; With a quinone or related compound as acceptor
1.10.5.1	ribosyldihydronicotinamide dehydrogenase (quinone); NRH:quinone oxidoreductase 2; NQO2; NAD(P)H:quinone oxidoreductase-2 (misleading); QR2; quinone reductase 2; N-ribosyldihydronicotinamide dehydrogenase (quinone); NAD(P)H:quinone oxidoreductase2 (misleading)
1.10.9.-	Oxidoreductases; Acting on diphenols and related substances as donors; With a copper protein as acceptor
1.10.9.1	Transferred to 7.1.1.6
1.10.98.-	Oxidoreductases; Acting on diphenols and related substances as donors; With other, known, acceptors
1.10.99.-	Oxidoreductases; Acting on diphenols and related substances as donors; With other acceptors
1.10.99.1	Transferred to 1.10.9.1
1.10.99.2	Transferred to 1.10.5.1
1.10.99.3	Transferred to 1.23.5.1
1.11.-.-	Oxidoreductases; Acting on a peroxide as acceptor
1.11.1.-	Oxidoreductases; Acting on a peroxide as acceptor; Peroxidases
1.11.1.1	NADH peroxidase; DPNH peroxidase; NAD peroxidase; diphosphopyridine nucleotide peroxidase; NADH-peroxidase; nicotinamide adenine dinucleotide peroxidase; NADH2 peroxidase
1.11.1.10	chloride peroxidase; chloroperoxidase; CPO; vanadium haloperoxidase
1.11.1.11	L-ascorbate peroxidase; L-ascorbic acid peroxidase; L-ascorbic acid-specific peroxidase; ascorbate peroxidase; ascorbic acid peroxidase
1.11.1.12	phospholipid-hydroperoxide glutathione peroxidase; peroxidation-inhibiting protein; PHGPX; peroxidation-inhibiting protein:peroxidase,glutathione (phospholipid hydroperoxide-reducing); phospholipid hydroperoxide glutathione peroxidase; hydroperoxide glutathione peroxidase
1.11.1.13	manganese peroxidase; peroxidase-M2; Mn-dependent (NADH-oxidizing) peroxidase
1.11.1.14	lignin peroxidase; diarylpropane oxygenase; ligninase I; diarylpropane peroxidase; LiP; diarylpropane:oxygen,hydrogen-peroxide oxidoreductase (C-C-bond-cleaving); 1,2-bis(3,4-dimethoxyphenyl)propane-1,3-diol:hydrogen-peroxide oxidoreductase (incorrect); (3,4-dimethoxyphenyl)methanol:hydrogen-peroxide oxidoreductase
1.11.1.15	Transferred to 1.11.1.24 and 1.11.1.25 and 1.11.1.26 and 1.11.1.27 and 1.11.1.28 and 1.11.1.29
1.11.1.16	versatile peroxidase; VP; hybrid peroxidase; polyvalent peroxidase; reactive-black-5:hydrogen-peroxide oxidoreductase
1.11.1.17	glutathione amide-dependent peroxidase
1.11.1.18	bromide peroxidase; bromoperoxidase; haloperoxidase (ambiguous); eosinophil peroxidase
1.11.1.19	dye decolorizing peroxidase; DyP; DyP-type peroxidase
1.11.1.2	NADPH peroxidase; TPNH peroxidase; NADP peroxidase; nicotinamide adenine dinucleotide phosphate peroxidase; TPN peroxidase; triphosphopyridine nucleotide peroxidase; NADPH2 peroxidase
1.11.1.20	prostamide/prostaglandin F2alpha synthase; prostamide/PGF synthase; prostamide F synthase; prostamide/prostaglandin F synthase; tPGF synthase
1.11.1.21	catalase-peroxidase; katG (gene name)
1.11.1.22	hydroperoxy fatty acid reductase; slr1171 (gene name); slr1992 (gene name); hydroperoxy fatty acid:NADPH oxidoreductase
1.11.1.23	(S)-2-hydroxypropylphosphonic acid epoxidase; HPP epoxidase; HppE; 2-hydroxypropylphosphonic acid epoxidase; Fom4; (S)-2-hydroxypropylphosphonate epoxidase
1.11.1.24	thioredoxin-dependent peroxiredoxin; thioredoxin peroxidase; bcp (gene name); tpx (gene name); PrxQ
1.11.1.25	glutaredoxin-dependent peroxiredoxin; PRXIIB (gene name)
1.11.1.26	NADH-dependent peroxiredoxin; ahpC (gene name); ahpF (gene name); alkyl hydroperoxide reductase
1.11.1.27	glutathione-dependent peroxiredoxin; PRDX6 (gene name); prx3 (gene name)
1.11.1.28	lipoyl-dependent peroxiredoxin; Ohr; ahpC (gene name); ahpD (gene name)
1.11.1.29	mycoredoxin-dependent peroxiredoxin; ahpE (gene name)
1.11.1.3	fatty-acid peroxidase; long chain fatty acid peroxidase
1.11.1.4	Transferred to 1.13.11.11
1.11.1.5	cytochrome-c peroxidase; cytochrome peroxidase; cytochrome c-551 peroxidase; apocytochrome c peroxidase; mesocytochrome c peroxidase azide; mesocytochrome c peroxidase cyanide; mesocytochrome c peroxidase cyanate; cytochrome c-H2O oxidoreductase; cytochrome c peroxidase
1.11.1.6	catalase; equilase; caperase; optidase; catalase-peroxidase; CAT
1.11.1.7	peroxidase; lactoperoxidase; guaiacol peroxidase; plant peroxidase; Japanese radish peroxidase; horseradish peroxidase (HRP); soybean peroxidase (SBP); extensin peroxidase; heme peroxidase; oxyperoxidase; protoheme peroxidase; pyrocatechol peroxidase; scopoletin peroxidase; Coprinus cinereus peroxidase; Arthromyces ramosus peroxidase
1.11.1.8	iodide peroxidase; thyroid peroxidase; iodoperoxidase (heme type); iodide peroxidase-tyrosine iodinase; thyroperoxidase; tyrosine iodinase; TPO; iodinase
1.11.1.9	glutathione peroxidase; GSH peroxidase; selenium-glutathione peroxidase; reduced glutathione peroxidase
1.11.2.-	Oxidoreductases; Acting on a peroxide as acceptor; With H2O2 as acceptor, one oxygen atom of which is incorporated into the product
1.11.2.1	unspecific peroxygenase; aromatic peroxygenase; mushroom peroxygenase; haloperoxidase-peroxygenase; Agrocybe aegerita peroxidase
1.11.2.2	myeloperoxidase; MPO; verdoperoxidase
1.11.2.3	plant seed peroxygenase; plant peroxygenase; soybean peroxygenase
1.11.2.4	fatty-acid peroxygenase; fatty acid hydroxylase (ambiguous); P450 peroxygenase; CYP152A1; P450BS; P450SPalpha
1.11.2.5	3-methyl-L-tyrosine peroxygenase; SfmD; SacD; 3-methyltyrosine peroxidase; 3-methyl-L-tyrosine peroxidase
1.11.2.6	L-tyrosine peroxygenase
1.12.-.-	Oxidoreductases; Acting on hydrogen as donors
1.12.1.-	Oxidoreductases; Acting on hydrogen as donors; With NAD(+) or NADP(+) as acceptor
1.12.1.1	Transferred to 1.12.7.2
1.12.1.2	hydrogen dehydrogenase; H2:NAD+ oxidoreductase; NAD+-linked hydrogenase; bidirectional hydrogenase; hydrogenase
1.12.1.3	hydrogen dehydrogenase (NADP+); NADP+-linked hydrogenase; NADP+-reducing hydrogenase; hydrogenase (ambiguous); hydrogenase I (ambiguous)
1.12.1.4	hydrogenase (NAD+, ferredoxin); bifurcating [FeFe] hydrogenase
1.12.1.5	hydrogen dehydrogenase [NAD(P)+]; hydrogenase II (ambiguous)
1.12.2.-	Oxidoreductases; Acting on hydrogen as donors; With a cytochrome as acceptor
