Funct	Description
M00600	alpha-1,4-Digalacturonate transport system
M00601	Putative chitobiose transport system
M00602	Arabinosaccharide transport system
M00603	Putative aldouronate transport system
M00604	Trehalose transport system
M00605	Glucose/mannose transport system
M00606	N,N'-Diacetylchitobiose transport system
M00607	Glycerol transport system
M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate
M00609	Cysteine biosynthesis, methionine => cysteine
M00610	PTS system, D-glucosaminate-specific II component
M00611	Oxygenic photosynthesis in plants and cyanobacteria
M00612	Anoxygenic photosynthesis in purple bacteria
M00613	Anoxygenic photosynthesis in green nonsulfur bacteria
M00614	Anoxygenic photosynthesis in green sulfur bacteria
M00615	Nitrate assimilation
M00616	Sulfate-sulfur assimilation
M00617	Methanogen
M00618	Acetogen
M00619	Xylobiose transport system
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
M00621	Glycine cleavage system
M00622	Nicotinate degradation, nicotinate => fumarate
M00623	Phthalate degradation, phthalate => protocatechuate
M00624	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate
M00625	Methicillin resistance
M00627	beta-Lactam resistance, Bla system
M00628	beta-Lactam resistance, AmpC system
M00630	D-Galacturonate degradation (fungi), D-galacturonate => glycerol
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P
M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P
M00634	Oleandomycin transport system
M00635	Tetracycline resistance, TetAB(46) transporter
M00636	Phthalate degradation, phthalate => protocatechuate
M00637	Anthranilate degradation, anthranilate => catechol
M00638	Salicylate degradation, salicylate => gentisate
M00639	Multidrug resistance, efflux pump MexCD-OprJ
M00641	Multidrug resistance, efflux pump MexEF-OprN
M00642	Multidrug resistance, efflux pump MexJK-OprM
M00643	Multidrug resistance, efflux pump MexXY-OprM
M00644	Vanadium resistance, efflux pump MexGHI-OpmD
M00645	Multidrug resistance, efflux pump SmeABC
M00646	Multidrug resistance, efflux pump AcrAD-TolC
M00647	Multidrug resistance, efflux pump AcrAB-TolC/SmeDEF
M00648	Multidrug resistance, efflux pump MdtABC
M00649	Multidrug resistance, efflux pump AdeABC
M00651	Vancomycin resistance, D-Ala-D-Lac type
M00652	Vancomycin resistance, D-Ala-D-Ser type
M00653	AauS-AauR (acidic amino acids utilization) two-component regulatory system
M00654	ParS-ParR (polymyxin-adaptive resistance) two-component regulatory system
M00655	AdeS-AdeR two-component regulatory system
M00656	VanS-VanR (VanB type vancomycin resistance) two-component regulatory system
M00657	VanS-VanR (VanE type vancomycin resistance) two-component regulatory system
M00658	VanS-VanR (actinomycete type vancomycin resistance) two-component regulatory system
M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors
M00661	Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline
M00662	Hk1-Rrp1 (glycerol uptake and utilization) two-component regulatory system
M00663	SsrA-SsrB two-component regulatory system
M00664	Nodulation
M00667	Tetracycline resistance, efflux pump
M00668	Tetracycline resistance, TetA transporter
M00669	gamma-Hexachlorocyclohexane transport system
M00670	Mce transport system
M00672	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin
M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C
M00674	Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate
M00675	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate
M00676	PI3K-Akt signaling
M00677	Wnt signaling
M00678	Hedgehog signaling
M00679	BMP signaling
M00680	TGF-beta signaling
M00681	Activin signaling
M00682	Notch signaling
M00683	Hippo signaling
M00684	JAK-STAT signaling
M00685	Apoptotic machinery
M00686	Toll-like receptor signaling
M00687	MAPK (ERK1/2) signaling
M00688	MAPK (JNK) signaling
M00689	MAPK (p38) signaling
M00690	MAPK (ERK5) signaling
M00691	DNA damage-induced cell cycle checkpoints
M00692	Cell cycle - G1/S transition
M00693	Cell cycle - G2/M transition
M00694	cGMP signaling
M00695	cAMP signaling
M00696	Multidrug resistance, efflux pump AcrEF-TolC
M00697	Multidrug resistance, efflux pump MdtEF-TolC
M00698	Multidrug resistance, efflux pump BpeEF-OprC
M00699	Multidrug resistance, efflux pump AmeABC
M00700	Multidrug resistance, efflux pump AbcA
M00701	Multidrug resistance, efflux pump EmrAB
M00702	Multidrug resistance, efflux pump NorB
M00704	Tetracycline resistance, efflux pump Tet38
M00705	Multidrug resistance, efflux pump MepA
M00706	Multidrug resistance, EfrAB transporter
M00707	Multidrug resistance, MdlAB/SmdAB transporter
M00708	Multidrug resistance, PatAB transporter
M00709	Macrolide resistance, MacAB-TolC transporter
M00710	Multidrug resistance, efflux pump EbrAB
M00711	Multidrug resistance, efflux pump MdtIJ
M00712	Multidrug resistance, efflux pump YkkCD
M00713	Fluoroquinolone resistance, efflux pump LfrA
M00714	Multidrug resistance, efflux pump QacA
M00715	Lincosamide resistance, efflux pump LmrB
M00716	ArlS-ArlR (virulence regulation) two-component regulatory system
M00717	Multidrug resistance, efflux pump NorA
M00718	Multidrug resistance, efflux pump MexAB-OprM
M00719	Ihk-Irr (virulence regulation) two-component regulatory system
M00720	Multidrug resistance, efflux pump VexEF-TolC
M00721	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon
M00722	Cationic antimicrobial peptide (CAMP) resistance, ethanolaminephosphotransferase EptA
M00723	Cationic antimicrobial peptide (CAMP) resistance, ethanolaminephosphotransferase EptB
M00724	Cationic antimicrobial peptide (CAMP) resistance, palmitoyl transferase PagP
M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon
M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF
M00727	Cationic antimicrobial peptide (CAMP) resistance, N-acetylmuramoyl-L-alanine amidase AmiA and AmiC
M00728	Cationic antimicrobial peptide (CAMP) resistance, envelope protein folding and degrading factors DegP and DsbA
M00729	Fluoroquinolone resistance, gyrase-protecting protein Qnr
M00730	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter
M00731	Bacitracin transport system
M00732	Cationic antimicrobial peptide transport system
M00733	GraS-GraR (cationic antimicrobial peptide transport) two-component regulatory system
M00734	BraS-BraR (bacitracin transport) two-component regulatory system
M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A
M00737	Bacitracin resistance, VraDE transporter
M00738	Bacitracin resistance, BceAB transporter
M00739	Cationic peptide transport system
M00740	Methylaspartate cycle
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
M00742	Aminoglycoside resistance, protease FtsH
M00743	Aminoglycoside resistance, protease HtpX
M00744	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE
M00745	Imipenem resistance, repression of porin OprD
M00746	Multidrug resistance, repression of porin OmpF
M00747	Bacitracin transport system
M00754	Nisin resistance, phage shock protein homolog LiaH
M00760	Erythromycin resistance, macrolide 2'-phosphotransferase I MphA
M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N
M00762	Copper-processing system
M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine
M00764	PTS system, fructoselysine/glucoselysine-specific II component
M00765	Multidrug resistance, efflux pump Bmr
M00766	Streptomycin resistance, deactivating enzyme StrAB
M00767	Multidrug resistance, efflux pump OqxAB
M00768	Multidrug resistance, efflux pump GesABC
M00769	Multidrug resistance, efflux pump MexPQ-OpmE
M00770	PfeS-PfeR (enterobactin-dependent iron acquisition) two-component regulatory system
M00771	FitF-FitH (insecticidal toxin regulation) two-component regulatory system
M00772	HupT-HupR (hydrogenase synthesis regulation) two-component regulatory system
M00773	Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin
M00774	Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B
M00775	Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin
M00776	Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin
M00777	Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b
M00778	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide
M00779	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin
M00780	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline
M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone
M00782	Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin
M00783	Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C
M00784	Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A
M00785	Cycloserine biosynthesis, arginine/serine => cycloserine
M00786	Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A
M00787	Bacilysin biosynthesis, prephenate => bacilysin
M00788	Terpentecin biosynthesis, GGAP => terpentecin
M00789	Rebeccamycin biosynthesis, tryptophan => rebeccamycin
M00790	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin
M00791	Manganese/zinc transport system
M00792	Manganese/zinc transport system
M00793	dTDP-L-rhamnose biosynthesis
M00794	dTDP-6-deoxy-D-allose biosynthesis
M00795	dTDP-beta-L-noviose biosynthesis
M00796	dTDP-D-mycaminose biosynthesis
M00797	dTDP-D-desosamine biosynthesis
M00798	dTDP-L-mycarose biosynthesis
M00799	dTDP-L-oleandrose biosynthesis
M00800	dTDP-L-megosamine biosynthesis
M00801	dTDP-L-olivose biosynthesis
M00802	dTDP-D-forosamine biosynthesis
M00803	dTDP-D-angolosamine biosynthesis
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate
M00805	Staurosporine biosynthesis, tryptophan => staurosporine
M00806	PTS system, maltose-specific II component
M00807	PTS system, galactose-specific II component
M00808	Violacein biosynthesis, tryptophan => violacein
M00809	PTS system, glucose-specific II component
M00810	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde
M00812	AgrC2-AgrA2 (virulence regulation) two-component regulatory system
M00813	Lantibiotic transport system
M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose
M00815	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A
M00816	NisK-NisR (lantibiotic biosynthesis) two-component regulatory system
M00817	Lantibiotic transport system
M00818	FusK-FusR (virulence regulation) two-component regulatory system
M00819	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone
M00820	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system
M00821	Multidrug resistance, efflux pump TriABC-TolC
M00822	Multidrug resistance, efflux pump MexMN-OprM
M00823	Chlortetracycline biosynthesis, pretetramide => chlortetracycline
M00824	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core
M00825	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core
M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA
M00827	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP
M00828	Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP
M00829	3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA
M00830	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA
M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA
M00832	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP
M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin
M00834	Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP
M00835	Pyocyanine biosynthesis, chorismate => pyocyanine
M00836	Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430
M00837	Prodigiosin biosynthesis, L-proline => prodigiosin
M00838	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin
M00839	PdtaS-PdtaR two-component regulatory system
M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF
M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4
M00844	Arginine biosynthesis, ornithine => arginine
M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine
M00846	Siroheme biosynthesis, glutamyl-tRNA => siroheme
M00847	Heme biosynthesis, archaea, siroheme => heme
M00848	Aurachin biosynthesis, anthranilate => aurachin A
M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
M00850	Vibrio cholerae pathogenicity signature, cholera toxins
M00851	Carbapenem resistance
M00852	Vibrio cholerae pathogenicity signature, toxin coregulated pilus
M00853	ETEC pathogenicity signature, colonization factors
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch
M00855	Glycogen degradation, glycogen => glucose-6P
M00856	Salmonella enterica pathogenicity signature, typhoid toxin
M00857	Salmonella enterica pathogenicity signature, Vi antigen
M00859	Bacillus anthracis pathogenicity signature, anthrax toxin
M00860	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis
M00861	beta-Oxidation, peroxisome, VLCFA
M00862	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
M00867	KDO2-lipid A modification pathway
M00868	Heme biosynthesis, animals and fungi, glycine => heme
M00872	O-glycan biosynthesis, mannose type (core M3)
M00873	Fatty acid biosynthesis in mitochondria, animals
M00874	Fatty acid biosynthesis in mitochondria, fungi
M00875	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B
M00876	Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A
M00877	Kanosamine biosynthesis, glucose 6-phosphate => kanosamine
M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA
M00879	Arginine succinyltransferase pathway, arginine => glutamate
M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
M00881	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H
M00882	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H
M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2
M00884	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2
M00889	Puromycin biosynthesis, ATP => puromycin
M00890	Roseoflavin biosynthesis, FMN => roseoflavin
M00891	Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline
M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid
M00894	Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol
M00895	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP
M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP
M00897	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP
M00898	Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP
M00899	Thiamine salvage pathway, HMP/HET => TMP
M00900	Crocin biosynthesis, crocetin => crocin
M00901	Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline
M00902	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin
M00903	Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin
M00904	Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C
M00905	Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B
M00906	Ethynylserine biosynthesis, lysine => ethynylserine
M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
M00910	Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine
M00911	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD
M00912	NAD biosynthesis, tryptophan => quinolinate => NAD
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
M00914	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA
M00915	Caffeine degradation, caffeine => xanthine
M00916	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P
M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
M00918	Aerobactin biosynthesis, lysine => aerobactin
M00919	Ectoine degradation, ectoine => aspartate
M00921	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin
M00922	CMP-Neu5Ac biosynthesis
M00923	UDP-L-FucNAm biosynthesis
M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide
M00925	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide
M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme
M00927	Gibberellin A12 biosynthesis, GAPP => GA12
M00928	Gibberellin A4/A1 biosynthesis, GA12/GA53 => GA4/GA1
M00929	Gibberellin A1 biosynthesis, GGPP => GA1
M00930	Menaquinone biosynthesis, futalosine pathway
M00931	Menaquinone biosynthesis, modified futalosine pathway
M00932	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol
M00933	Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol
M00934	Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II
M00935	Methanofuran biosynthesis
M00936	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin
M00937	Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1
M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP
M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate
M00940	Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin
M00941	Isoflavone biosynthesis, liquiritigenin/naringenin => daidzein/genistein
M00942	Pterocarpan biosynthesis, daidzein => medicarpin
M00943	Reticuline biosynthesis, dopamine + 4HPAA => (S)-reticuline
M00944	Morphine biosynthesis, (S)-reticuline => morphine
M00945	Sanguinarine biosynthesis, (S)-reticuline => sanguinarine
M00946	Noscapine biosynthesis, (S)-reticuline => noscapine
M00947	D-Arginine racemization, D-arginine => L-arginine
M00948	Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate
M00949	Staphylopine biosynthesis, L-histidine => staphylopine
M00950	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin
M00951	Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin
M00952	Benzoxazinoid biosynthesis, indoleglycerol phosphate => DIMBOA-glucoside
M00953	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid
M00956	Lysine degradation, bacteria, L-lysine => succinate
M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
M00958	Adenine ribonucleotide degradation, AMP => Urate
M00959	Guanine ribonucleotide degradation, GMP => Urate
M00960	Lysine degradation, bacteria, L-lysine => D-lysine => succinate
M00961	Betacyanin biosynthesis, L-tyrosine => amaranthin
M00962	Psilocybin biosynthesis, tryptophan => psilocybin
M00963	Chanoclavine aldehyde biosynthesis, tryptophan => chanoclavine-I aldehyde
M00964	Fumigaclavine biosynthesis, chanoclavine-I aldehyde => fumigaclavine C
M00965	Vindoline biosynthesis, tabersonine => vindoline
M00966	Equol biosynthesis, daidzein => equol
M00967	Flavone degradation, luteolin/apigenin => DHCA/phloretate
M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate
M00969	Fumagillin biosynthesis, farnesyl-PP => fumagillin
M00970	Proline degradation, proline => glutamate
M00971	QS-7 biosynthesis, 2,3-epoxysqualene => QS-7
M00972	Proline metabolism
M00973	Anammox, nitrite + ammonia => nitrogen
